BRAINBYSITE.TXT
Who has access

System properties
Type
Text
Size
577 KB
Storage used
577 KB
Location
Colab Notebooks
Owner
Whisper
Modified
May 27, 2021 by Whisper
Opened
9:01 AM by me
Created
8:57 AM
No description
Viewers can download
AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Malignant|~|40165421|Female|Anaplastic oligodendroglioma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40632733|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Malignant|~|40632733|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40459557|Female|Anaplastic oligodendroglioma|2011|~|~|~
0-19|~|~|~|Malignant|~|40459557|Female|Anaplastic oligodendroglioma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40305208|Female|Anaplastic oligodendroglioma|2012|~|~|~
0-19|~|~|~|Malignant|~|40305208|Female|Anaplastic oligodendroglioma|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|40208756|Female|Anaplastic oligodendroglioma|2013|~|~|~
0-19|~|~|~|Malignant|~|40208756|Female|Anaplastic oligodendroglioma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40150534|Female|Anaplastic oligodendroglioma|2014|~|~|~
0-19|~|~|~|Malignant|~|40150534|Female|Anaplastic oligodendroglioma|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|198853824|Female|Anaplastic oligodendroglioma|2014-2018|~|~|~
0-19|~|~|~|Malignant|~|198853824|Female|Anaplastic oligodendroglioma|2014-2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|40145405|Female|Anaplastic oligodendroglioma|2015|~|~|~
0-19|~|~|~|Malignant|~|40145405|Female|Anaplastic oligodendroglioma|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|40164077|Female|Anaplastic oligodendroglioma|2016|~|~|~
0-19|~|~|~|Malignant|~|40164077|Female|Anaplastic oligodendroglioma|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|40141466|Female|Anaplastic oligodendroglioma|2017|~|~|~
0-19|~|~|~|Malignant|~|40141466|Female|Anaplastic oligodendroglioma|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|39687165|Female|Anaplastic oligodendroglioma|2018|~|~|~
0-19|~|~|~|Malignant|~|39687165|Female|Anaplastic oligodendroglioma|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Astrocytoma, NOS|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|93|39865121|Female|Astrocytoma, NOS|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Astrocytoma, NOS|2005|~|~|~
0-19|0.2|0.3|0.2|Malignant|92|39998876|Female|Astrocytoma, NOS|2005|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Astrocytoma, NOS|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|89|40165421|Female|Astrocytoma, NOS|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Astrocytoma, NOS|2007|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|40382360|Female|Astrocytoma, NOS|2007|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Astrocytoma, NOS|2008|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|40576293|Female|Astrocytoma, NOS|2008|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Astrocytoma, NOS|2009|~|~|~
0-19|0.2|0.3|0.2|Malignant|98|40670476|Female|Astrocytoma, NOS|2009|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40632733|Female|Astrocytoma, NOS|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|92|40632733|Female|Astrocytoma, NOS|2010|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40459557|Female|Astrocytoma, NOS|2011|~|~|~
0-19|0.2|0.2|0.2|Malignant|81|40459557|Female|Astrocytoma, NOS|2011|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40305208|Female|Astrocytoma, NOS|2012|~|~|~
0-19|0.2|0.3|0.2|Malignant|83|40305208|Female|Astrocytoma, NOS|2012|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40208756|Female|Astrocytoma, NOS|2013|~|~|~
0-19|0.2|0.3|0.3|Malignant|102|40208756|Female|Astrocytoma, NOS|2013|0.2|0.3|0.3
0-19|~|~|~|Benign/Borderline|~|40150534|Female|Astrocytoma, NOS|2014|~|~|~
0-19|0.2|0.3|0.3|Malignant|103|40150534|Female|Astrocytoma, NOS|2014|0.2|0.3|0.3
0-19|~|~|~|Benign/Borderline|~|198853824|Female|Astrocytoma, NOS|2014-2018|~|~|~
0-19|0.2|0.2|0.2|Malignant|415|198853824|Female|Astrocytoma, NOS|2014-2018|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40145405|Female|Astrocytoma, NOS|2015|~|~|~
0-19|0.1|0.2|0.2|Malignant|75|40145405|Female|Astrocytoma, NOS|2015|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40164077|Female|Astrocytoma, NOS|2016|~|~|~
0-19|0.2|0.2|0.2|Malignant|81|40164077|Female|Astrocytoma, NOS|2016|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40141466|Female|Astrocytoma, NOS|2017|~|~|~
0-19|0.2|0.2|0.2|Malignant|77|40141466|Female|Astrocytoma, NOS|2017|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39687165|Female|Astrocytoma, NOS|2018|~|~|~
0-19|0.2|0.3|0.2|Malignant|81|39687165|Female|Astrocytoma, NOS|2018|0.2|0.3|0.2
0-19|0.1|0.1|0.1|Benign/Borderline|30|39865121|Female|Choroid plexus|2004|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|39865121|Female|Choroid plexus|2004|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|21|39998876|Female|Choroid plexus|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39998876|Female|Choroid plexus|2005|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|40165421|Female|Choroid plexus|2006|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40165421|Female|Choroid plexus|2006|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|30|40382360|Female|Choroid plexus|2007|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40382360|Female|Choroid plexus|2007|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|42|40576293|Female|Choroid plexus|2008|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40576293|Female|Choroid plexus|2008|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|40670476|Female|Choroid plexus|2009|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40670476|Female|Choroid plexus|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|29|40632733|Female|Choroid plexus|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40632733|Female|Choroid plexus|2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|27|40459557|Female|Choroid plexus|2011|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40459557|Female|Choroid plexus|2011|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|25|40305208|Female|Choroid plexus|2012|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40305208|Female|Choroid plexus|2012|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|29|40208756|Female|Choroid plexus|2013|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40208756|Female|Choroid plexus|2013|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|40150534|Female|Choroid plexus|2014|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40150534|Female|Choroid plexus|2014|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|136|198853824|Female|Choroid plexus|2014-2018|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|41|198853824|Female|Choroid plexus|2014-2018|0.0|0.0|0.0
0-19|0.1|0.1|0.1|Benign/Borderline|31|40145405|Female|Choroid plexus|2015|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40145405|Female|Choroid plexus|2015|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|23|40164077|Female|Choroid plexus|2016|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40164077|Female|Choroid plexus|2016|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|34|40141466|Female|Choroid plexus|2017|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40141466|Female|Choroid plexus|2017|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|29|39687165|Female|Choroid plexus|2018|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39687165|Female|Choroid plexus|2018|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|84|39865121|Female|Craniopharyngioma|2004|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|39865121|Female|Craniopharyngioma|2004|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|78|39998876|Female|Craniopharyngioma|2005|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|39998876|Female|Craniopharyngioma|2005|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|77|40165421|Female|Craniopharyngioma|2006|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40165421|Female|Craniopharyngioma|2006|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|96|40382360|Female|Craniopharyngioma|2007|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40382360|Female|Craniopharyngioma|2007|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|66|40576293|Female|Craniopharyngioma|2008|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40576293|Female|Craniopharyngioma|2008|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|91|40670476|Female|Craniopharyngioma|2009|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40670476|Female|Craniopharyngioma|2009|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|92|40632733|Female|Craniopharyngioma|2010|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40632733|Female|Craniopharyngioma|2010|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|87|40459557|Female|Craniopharyngioma|2011|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40459557|Female|Craniopharyngioma|2011|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|78|40305208|Female|Craniopharyngioma|2012|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40305208|Female|Craniopharyngioma|2012|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|89|40208756|Female|Craniopharyngioma|2013|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40208756|Female|Craniopharyngioma|2013|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|92|40150534|Female|Craniopharyngioma|2014|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40150534|Female|Craniopharyngioma|2014|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|366|198853824|Female|Craniopharyngioma|2014-2018|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|198853824|Female|Craniopharyngioma|2014-2018|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|81|40145405|Female|Craniopharyngioma|2015|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40145405|Female|Craniopharyngioma|2015|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|68|40164077|Female|Craniopharyngioma|2016|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40164077|Female|Craniopharyngioma|2016|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|79|40141466|Female|Craniopharyngioma|2017|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40141466|Female|Craniopharyngioma|2017|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|51|39687165|Female|Craniopharyngioma|2018|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|39687165|Female|Craniopharyngioma|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Diffuse astrocytoma|2004|~|~|~
0-19|0.0|0.1|0.1|Malignant|20|39865121|Female|Diffuse astrocytoma|2004|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Diffuse astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|39998876|Female|Diffuse astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Diffuse astrocytoma|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|40382360|Female|Diffuse astrocytoma|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Diffuse astrocytoma|2008|~|~|~
0-19|0.0|0.1|0.1|Malignant|21|40576293|Female|Diffuse astrocytoma|2008|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Diffuse astrocytoma|2009|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40670476|Female|Diffuse astrocytoma|2009|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40632733|Female|Diffuse astrocytoma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|19|40632733|Female|Diffuse astrocytoma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40459557|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Malignant|~|40459557|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40305208|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Malignant|~|40305208|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|40208756|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Malignant|~|40208756|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40150534|Female|Diffuse astrocytoma|2014|~|~|~
0-19|~|~|~|Malignant|~|40150534|Female|Diffuse astrocytoma|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|198853824|Female|Diffuse astrocytoma|2014-2018|~|~|~
0-19|~|~|~|Malignant|~|198853824|Female|Diffuse astrocytoma|2014-2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|40145405|Female|Diffuse astrocytoma|2015|~|~|~
0-19|~|~|~|Malignant|~|40145405|Female|Diffuse astrocytoma|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|40164077|Female|Diffuse astrocytoma|2016|~|~|~
0-19|~|~|~|Malignant|~|40164077|Female|Diffuse astrocytoma|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|40141466|Female|Diffuse astrocytoma|2017|~|~|~
0-19|~|~|~|Malignant|~|40141466|Female|Diffuse astrocytoma|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|39687165|Female|Diffuse astrocytoma|2018|~|~|~
0-19|~|~|~|Malignant|~|39687165|Female|Diffuse astrocytoma|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Embryonal/primitive/medulloblastoma|2004|~|~|~
0-19|0.5|0.6|0.5|Malignant|215|39865121|Female|Embryonal/primitive/medulloblastoma|2004|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Embryonal/primitive/medulloblastoma|2005|~|~|~
0-19|0.4|0.5|0.5|Malignant|186|39998876|Female|Embryonal/primitive/medulloblastoma|2005|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Embryonal/primitive/medulloblastoma|2006|~|~|~
0-19|0.4|0.6|0.5|Malignant|203|40165421|Female|Embryonal/primitive/medulloblastoma|2006|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Embryonal/primitive/medulloblastoma|2007|~|~|~
0-19|0.5|0.6|0.5|Malignant|220|40382360|Female|Embryonal/primitive/medulloblastoma|2007|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Embryonal/primitive/medulloblastoma|2008|~|~|~
0-19|0.5|0.6|0.6|Malignant|229|40576293|Female|Embryonal/primitive/medulloblastoma|2008|0.5|0.6|0.6
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Embryonal/primitive/medulloblastoma|2009|~|~|~
0-19|0.4|0.6|0.5|Malignant|205|40670476|Female|Embryonal/primitive/medulloblastoma|2009|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40632733|Female|Embryonal/primitive/medulloblastoma|2010|~|~|~
0-19|0.4|0.5|0.4|Malignant|175|40632733|Female|Embryonal/primitive/medulloblastoma|2010|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|40459557|Female|Embryonal/primitive/medulloblastoma|2011|~|~|~
0-19|0.4|0.6|0.5|Malignant|196|40459557|Female|Embryonal/primitive/medulloblastoma|2011|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40305208|Female|Embryonal/primitive/medulloblastoma|2012|~|~|~
0-19|0.4|0.5|0.4|Malignant|180|40305208|Female|Embryonal/primitive/medulloblastoma|2012|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|40208756|Female|Embryonal/primitive/medulloblastoma|2013|~|~|~
0-19|0.4|0.5|0.5|Malignant|186|40208756|Female|Embryonal/primitive/medulloblastoma|2013|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40150534|Female|Embryonal/primitive/medulloblastoma|2014|~|~|~
0-19|0.5|0.6|0.5|Malignant|212|40150534|Female|Embryonal/primitive/medulloblastoma|2014|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|198853824|Female|Embryonal/primitive/medulloblastoma|2014-2018|~|~|~
0-19|0.4|0.5|0.5|Malignant|896|198853824|Female|Embryonal/primitive/medulloblastoma|2014-2018|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40145405|Female|Embryonal/primitive/medulloblastoma|2015|~|~|~
0-19|0.4|0.5|0.5|Malignant|191|40145405|Female|Embryonal/primitive/medulloblastoma|2015|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40164077|Female|Embryonal/primitive/medulloblastoma|2016|~|~|~
0-19|0.4|0.5|0.4|Malignant|178|40164077|Female|Embryonal/primitive/medulloblastoma|2016|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|40141466|Female|Embryonal/primitive/medulloblastoma|2017|~|~|~
0-19|0.4|0.5|0.4|Malignant|170|40141466|Female|Embryonal/primitive/medulloblastoma|2017|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|39687165|Female|Embryonal/primitive/medulloblastoma|2018|~|~|~
0-19|0.3|0.5|0.4|Malignant|152|39687165|Female|Embryonal/primitive/medulloblastoma|2018|0.3|0.4|0.4
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Ependymoma variants|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Ependymoma variants|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Ependymoma variants|2009|~|~|~
